地区,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
上海,29887.0,32925.0,36011.8,37987.6,38963.3,43653.2,44652.8,47218.7,53926.7,56709.0
云南,16369.0,18486.0,20880.6,23223.8,24555.7,27161.6,28954.2,30021.0,25041.0,26000.0
内蒙古,13789.3,14898.1,16140.8,17212.5,17258.0,21166.0,23158.6,24627.0,26314.6,26700.0
北京,27041.2,29883.0,33106.0,35445.1,35943.3,41045.6,41610.9,43760.7,49843.1,50130.0
吉林,10427.0,10922.0,11253.8,11726.8,12256.0,13163.8,13070.2,13531.2,14361.2,14500.0
四川,33138.5,37905.1,42902.1,46363.8,48501.6,54088.0,56749.8,60132.9,64697.0,67665.0
天津,11477.2,12450.6,13362.9,14055.5,14008.0,15685.1,16311.3,16737.3,18024.3,18500.0
宁夏,2781.4,3200.3,3510.2,3748.5,3956.3,4588.2,5069.6,5314.9,5502.8,5696.0
安徽,26307.7,29676.2,34010.9,36845.5,38061.5,42565.2,45045.0,47050.6,50050.0,52000.0
山东,58762.5,63012.1,66648.9,70540.5,72798.2,82875.2,87435.1,92069.0,98566.0,103197.0
山西,11946.4,14484.3,15958.1,16961.6,17835.6,22870.4,25642.6,25692.6,25494.7,25500.0
广东,82163.2,91648.7,99945.2,107986.9,111151.6,124719.5,129118.6,135673.2,141633.8,145847.0
广西,16116.6,17790.7,19627.8,21237.1,22120.9,25209.1,26300.9,27202.4,22300.0,23000.0
新疆,9630.8,11159.9,12809.4,13597.1,13800.7,16311.6,17741.3,19125.9,20534.2,21500.0
江苏,77350.9,85869.8,93207.6,98656.8,102807.7,117392.4,122875.6,128222.2,137008.0,142351.5
江西,18388.6,20210.8,22716.5,24667.3,25782.0,29827.8,32074.7,32200.1,34202.5,35000.0
河北,28474.1,30640.8,32494.6,34978.6,36013.8,40397.1,42370.4,43944.1,47526.9,50000.0
河南,40249.3,44824.9,49935.9,53717.8,54259.4,58071.4,61345.1,59132.4,63590.0,66633.0
浙江,47254.0,52403.1,58002.8,62462.0,64689.1,74040.8,77715.4,82553.0,90100.0,94545.0
海南,4090.2,4497.5,4910.7,5330.8,5566.2,6504.1,6818.2,7551.2,7935.7,8109.0
湖北,33353.0,37235.0,42022.0,45429.0,43004.5,50091.2,53734.9,55803.6,60013.0,62661.0
湖南,30853.5,33828.1,36329.7,39894.1,41542.6,45713.5,48670.4,50012.9,53231.0,55309.0
甘肃,6907.9,7336.7,8104.1,8718.3,8979.7,10225.5,11201.6,11863.8,13002.9,13500.0
福建,29609.4,33842.4,38687.8,42326.6,43608.6,49566.1,53109.9,54355.1,57761.0,60199.0
西藏,1173.0,1349.0,1548.4,1697.8,1902.7,2080.2,2132.6,2392.7,2764.9,2765.0
贵州,11792.4,13605.4,15353.2,16769.3,17860.4,19458.6,20164.6,20913.2,22667.1,23000.0
辽宁,20392.5,21693.0,23510.5,24855.3,25011.4,27569.5,28975.1,30209.4,32612.7,32500.0
重庆,18023.0,20066.3,21588.8,23605.8,25041.4,28077.3,29129.0,30145.8,32193.2,33800.0
陕西,19045.8,21473.5,23941.9,25793.2,26014.1,30121.7,32772.7,33786.1,35538.8,37000.0
青海,2258.2,2465.1,2748.0,2941.1,3009.8,3385.1,3610.1,3799.1,3950.8,3951.0
黑龙江,11895.0,12313.0,12846.5,13544.4,13633.4,14858.2,15901.0,15883.9,16476.9,16700.0
