"年份","总人口","男","女","城镇","乡村"
1949,54167,28145,26022,5765,48402
1950,55196,28669,26527,6169,49027
1951,56300,29231,27069,6632,49668
1955,61465,31809,29656,8285,53180
1960,66207,34283,31924,13073,53134
1965,72538,37128,35410,13045,59493
1970,82992,42686,40306,14424,68568
1971,85229,43819,41410,14711,70518
1972,87177,44813,42364,14935,72242
1973,89211,45876,43335,15345,73866
1974,90859,46727,44132,15595,75264
1975,92420,47564,44856,16030,76390
1976,93717,48257,45460,16341,77376
1977,94974,48908,46066,16669,78305
1978,96259,49567,46692,17245,79014
1979,97542,50192,47350,18495,79047
1980,98705,50785,47920,19140,79565
1981,100072,51519,48553,20171,79901
1982,101654,52352,49302,21480,80174
1983,103008,53152,49856,22274,80734
1984,104357,53848,50509,24017,80340
1985,105851,54725,51126,25094,80757
1986,107507,55581,51926,26366,81141
1987,109300,56290,53010,27674,81626
1988,111026,57201,53825,28661,82365
1989,112704,58099,54605,29540,83164
1990,114333,58904,55429,30195,84138
1991,115823,59466,56357,31203,84620
1992,117171,59811,57360,32175,84996
1993,118517,60472,58045,33173,85344
1994,119850,61246,58604,34169,85681
1995,121121,61808,59313,35174,85947
1996,122389,62200,60189,37304,85085
1997,123626,63131,60495,39449,84177
1998,124761,63940,60821,41608,83153
1999,125786,64692,61094,43748,82038
2000,126743,65437,61306,45906,80837
2001,127627,65672,61955,48064,79563
2002,128453,66115,62338,50212,78241
2003,129227,66556,62671,52376,76851
2004,129988,66976,63012,54283,75705
2005,130756,67375,63381,56212,74544
2006,131448,67728,63720,58288,73160
2007,132129,68048,64081,60633,71496
2008,132802,68357,64445,62403,70399
2009,133450,68647,64803,64512,68938
2010,134091,68748,65343,66978,67113
2011,134916,69161,65755,69927,64989
2012,135922,69660,66262,72175,63747
2013,136726,70063,66663,74502,62224
2014,137646,70522,67124,76738,60908
2015,138326,70857,67469,79302,59024
2016,139232,71307,67925,81924,57308
2017,140011,71650,68361,84343,55668
2018,140541,71864,68677,86433,54108
2019,141008,72039,68969,88426,52582
2020,141212,72357,68855,90220,50992
2021,141260,72311,68949,91425,49835
2022,141175,72206,68969,92071,49104
2023,140967,72032,68935,93267,47700
2024,140828,71909,68919,94350,46478
