"年份","第一产业","第二产业","第三产业","全部投资比上年增长","第一产业增长","第二产业增长","第三产业增长"
2003,518,16112,27759,NA,NA,NA,NA
2004,595,21017,33862,25,14.8,30.4,22
2005,727,27588,40199,23.5,22.1,31.3,18.7
2006,898,33263,48670,20.9,23.6,20.6,21.1
2007,1096,41001,59114,22.2,22.1,23.3,21.5
2008,1588,50365,72481,22.9,44.8,22.8,22.6
2009,2220,61177,93536,26.1,39.9,21.5,29
2010,2493,72647,114825,21,12.3,18.7,22.8
2011,2344,70585,121144,20.3,16.4,19.7,20.8
2012,2804,80242,146641,18.4,19.6,13.7,21
2013,3409,89822,176107,17.3,21.6,11.9,20.1
2014,4176,98048,204392,13.8,22.5,9.2,16.1
2015,5111,103706,225374,9,22.4,5.8,10.3
2016,5775,106014,246805,7.3,13,2.2,9.5
2017,6194,108094,267399,6.4,7.3,2,8.3
2018,6993,115039,282241,5.9,12.9,6.4,5.6
2019,7035,118552,300445,5.4,0.6,3.1,6.5
2020,8407,118895,311255,2.9,19.5,0.3,3.6
2021,9239,132728,318255,4.9,9.9,11.6,2.2
2022,9313,146634,327930,5.1,0.8,10.5,3
2023,9304,159848,329242,3,-0.1,9,0.4
2024,9543,179064,325767,3.2,2.6,12,-1.1
