"年份","财政收入","财政支出","财政收入增速","财政支出增速","财政收入占比","财政支出占比"
1978,1132.3,1122.1,29.5,33,30.8,30.5
1979,1146.4,1281.8,1.2,14.2,28,31.3
1980,1159.9,1228.8,1.2,-4.1,25.3,26.8
1981,1175.8,1138.4,1.4,-7.4,23.8,23.1
1982,1212.3,1230,3.1,8,22.6,22.9
1983,1367,1409.5,12.8,14.6,22.7,23.4
1984,1642.9,1701,20.2,20.7,22.6,23.4
1985,2004.8,2004.3,22,17.8,22,22
1986,2122,2204.9,5.8,10,20.5,21.2
1987,2199.4,2262.2,3.6,2.6,18.1,18.6
1988,2357.2,2491.2,7.2,10.1,15.5,16.4
1989,2664.9,2823.8,13.1,13.3,15.5,16.4
1990,2937.1,3083.6,10.2,9.2,15.6,16.3
1991,3149.5,3386.6,7.2,9.8,14.3,15.4
1992,3483.4,3742.2,10.6,10.5,12.8,13.8
1993,4349,4642.3,24.8,24.1,12.2,13
1994,5218.1,5792.6,20,24.8,10.7,11.9
1995,6242.2,6823.7,19.6,17.8,10.2,11.1
1996,7408,7937.6,18.7,16.3,10.3,11.1
1997,8651.1,9233.6,16.8,16.3,10.9,11.6
1998,9876,10798.2,14.2,16.9,11.6,12.7
1999,11444.1,13187.7,15.9,22.1,12.6,14.6
2000,13395.2,15886.5,17,20.5,13.4,15.8
2001,16386,18902.6,22.3,19,14.8,17.1
2002,18903.6,22053.2,15.4,16.7,15.5,18.1
2003,21715.3,24650,14.9,11.8,15.8,17.9
2004,26396.5,28486.9,21.6,15.6,16.3,17.6
2005,31649.3,33930.3,19.9,19.1,16.9,18.1
2006,38760.2,40422.7,22.5,19.1,17.7,18.4
2007,51321.8,49781.4,32.4,23.2,19,18.4
2008,61330.4,62592.7,19.5,25.7,19.2,19.6
2009,68518.3,76299.9,11.7,21.9,19.7,21.9
2010,83101.5,89874.2,21.3,17.8,20.2,21.8
2011,103874.4,109247.8,25,21.6,21.3,22.4
2012,117253.5,125953,12.9,15.3,21.8,23.4
2013,129209.6,140212.1,10.2,11.3,21.8,23.6
2014,140370,151785.6,8.6,8.3,21.8,23.6
2015,152269.2,175877.8,5.8,13.2,22.1,25.5
2016,159605,187755.2,4.5,6.3,21.4,25.2
2017,172592.8,203085.5,7.4,7.6,20.7,24.4
2018,183359.8,220904.1,6.2,8.7,19.9,24
2019,190390.1,238858.4,3.8,8.1,19.3,24.2
2020,182913.9,245679,-3.9,2.9,18,24.2
2021,202554.6,245673,10.7,0.3,17.6,21.4
2022,203649.3,260552.1,0.5,6.1,16.8,21.5
2023,216784,274574,6.4,5.4,17.2,21.8
2024,219702,274595,1.3,0.0,16.5,20.7
2025,216045,287395,-1.7,4.7,15.7,20.9
